Game;;Result;Moves;Year;Event/Locale;Opening
145. Kholmov vs Kasparov;;1-0;65;1978;46th URS-ch selection;B18 Caro-Kann, Classical
146. Kasparov vs R Korsunsky;;1-0;52;1978;46th URS-ch selection;B45 Sicilian, Taimanov
147. Kasparov vs A Panchenko;;1-0;35;1978;46th URS-ch selection;B67 Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 8...Bd7
148. Kasparov vs Lputian;;1-0;28;1978;46th URS-ch selection;D37 Queen's Gambit Declined
149. Tseshkovsky vs Kasparov;;½-½;14;1978;46th URS-ch selection;B18 Caro-Kann, Classical
150. Kasparov vs Kupreichik;;½-½;21;1978;46th URS-ch selection;C61 Ruy Lopez, Bird's Defense
Game;;Result;Moves;Year;Event/Locale;Opening
151. A Mikhalchishin vs Kasparov;;½-½;17;1978;46th URS-ch selection;B18 Caro-Kann, Classical
152. Y Nikolaevsky vs Kasparov;;½-½;31;1978;46th URS-ch selection;A04 Reti Opening
153. Kasparov vs Lputian;;1-0;28;1978;46th URS-ch selection;D37 Queen's Gambit Declined
154. Tseitlin vs Kasparov;;0-1;53;1978;46th URS-ch selection;B13 Caro-Kann, Exchange
155. A Kapengut vs Kasparov;;½-½;37;1978;46th URS-ch selection;B18 Caro-Kann, Classical
156. Tseshkovsky vs Kasparov;;½-½;14;1978;46th URS-ch selection;B18 Caro-Kann, Classical
157. Kasparov vs Palatnik;;1-0;37;1978;46th URS-ch selection;B04 Alekhine's Defense, Modern
158. Kasparov vs P Korzubov;;1-0;37;1978;Team Tournament;C07 French, Tarrasch
159. Kasparov vs F Sideifzade;;0-1;28;1978;Team Tournament;A15 English
160. Kasparov vs A Sokolov;;1-0;41;1978;Team Tournament;B83 Sicilian
161. Kasparov vs Mayorov;;½-½;30;1978;Team Tournament;C42 Petrov Defense
162. N Andrianov vs Kasparov;;1-0;46;1978;Team Tournament;A32 English, Symmetrical Variation
163. Fedoruk vs Kasparov;;0-1;30;1978;Team Tournament;B18 Caro-Kann, Classical
164. A Graf vs Kasparov;;0-1;32;1978;Team Tournament;A32 English, Symmetrical Variation
165. Averkin vs Kasparov;;½-½;37;1978;Team Tournament;A48 King's Indian
166. D Lapienis vs Kasparov;;½-½;48;1978;Team Tournament;A67 Benoni, Taimanov Variation
167. A Alienkin vs Kasparov;;½-½;45;1978;Team Tournament;B40 Sicilian
168. A Butnorius vs Kasparov;;½-½;42;1978;Team Tournament;D78 Neo-Grunfeld, 6.O-O c6
169. Kasparov vs Ehlvest;;1-0;38;1978;Team Tournament;B96 Sicilian, Najdorf
170. Kasparov vs G Govashelishvili;;1-0;36;1978;Team Tournament;A14 English
171. Kasparov vs Gufeld;;1-0;48;1978;Team Tournament;B74 Sicilian, Dragon, Classical
172. Kasparov vs Romanishin;;½-½;39;1978;46th USSR Championship;A28 English
173. Tukmakov vs Kasparov;;½-½;21;1978;46th USSR Championship;A56 Benoni Defense
174. Geller vs Kasparov;;½-½;42;1978;46th USSR Championship;B18 Caro-Kann, Classical
175. Kasparov vs Polugaevsky;;1-0;46;1978;46th USSR Championship;B43 Sicilian, Kan, 5.Nc3
Game;;Result;Moves;Year;Event/Locale;Opening
176. Kasparov vs Polugaevsky;;1-0;46;1978;46th USSR Championship;B43 Sicilian, Kan, 5.Nc3
177. Razuvaev vs Kasparov;;1-0;35;1978;46th USSR Championship;B90 Sicilian, Najdorf
178. Kasparov vs G Kuzmin;;1-0;41;1978;46th USSR Championship;C97 Ruy Lopez, Closed, Chigorin
